epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.654,1.31436,3.20279,1.2504,0.00689,0.99371,0.4576,0.29646,1.00436,3.32904,0.94608,0.0001429,0.0001429,0.0001429
2,73.8466,0.95094,1.76829,1.05435,0.00692,1,0.65121,0.53859,0.60291,2.89823,0.81237,0.000294148,0.000294148,0.000294148
3,106.983,0.89672,1.4381,1.0223,0.99116,0.28392,0.67202,0.54286,0.65019,2.6447,0.85978,0.000439172,0.000439172,0.000439172
4,140.215,0.76124,1.26561,0.97065,0.9842,0.46079,0.64798,0.5051,0.79763,2.59131,0.89362,0.00057797,0.00057797,0.00057797
5,173.016,0.84557,1.28499,1.03847,0.97914,0.61755,0.64553,0.51014,0.79643,2.38444,0.90261,0.000710545,0.000710545,0.000710545
6,206.085,0.85897,1.21828,1.03528,0.9704,0.63014,0.65056,0.53829,0.65961,1.78853,0.84773,0.000836894,0.000836894,0.000836894
7,244.634,0.89857,1.26002,1.07039,0.98595,0.63638,0.64872,0.52523,0.74585,1.7413,0.89171,0.000957018,0.000957018,0.000957018
8,285.707,0.78671,1.14559,1.017,0.93726,0.64556,0.65226,0.51277,0.78026,1.40457,0.91161,0.00107092,0.00107092,0.00107092
9,320.205,0.90082,1.23378,1.04977,0.96499,0.64194,0.6597,0.52133,0.72553,1.40153,0.89142,0.00117859,0.00117859,0.00117859
10,352.534,0.87459,1.11255,1.03524,0.99063,0.63298,0.68975,0.52394,0.78972,1.37564,0.94008,0.00117435,0.00117435,0.00117435
11,384.696,0.80813,1.14755,1.00416,0.64872,0.81223,0.68377,0.5592,0.67214,1.48921,0.88165,0.00114606,0.00114606,0.00114606
12,416.75,0.81416,1.0971,0.9959,0.73864,0.81223,0.89362,0.57152,0.72447,1.21177,0.86211,0.00111776,0.00111776,0.00111776
13,448.688,0.77773,0.97975,0.99312,0.98921,0.64556,0.71296,0.55754,0.70171,1.16894,0.87093,0.00108947,0.00108947,0.00108947
14,480.889,0.80115,0.98634,0.98989,0.94464,0.62204,0.74929,0.55392,0.68947,1.35209,0.87757,0.00106118,0.00106118,0.00106118
15,512.857,0.79436,1.08201,1.03079,0.98677,0.64556,0.69007,0.5471,0.64681,1.0973,0.87426,0.00103288,0.00103288,0.00103288
16,545.46,0.74445,0.90538,0.97696,0.98249,0.64556,0.92171,0.61379,0.68177,1.04326,0.86267,0.00100459,0.00100459,0.00100459
17,577.752,0.74436,0.91311,0.99564,0.94479,0.64556,0.81194,0.64854,0.59521,1.04982,0.84155,0.000976293,0.000976293,0.000976293
18,610.242,0.75611,0.90338,0.98222,0.84771,0.64556,0.84146,0.66747,0.59665,0.97173,0.82962,0.000947999,0.000947999,0.000947999
19,642.369,0.69785,0.85792,0.95216,0.7542,0.9789,0.80938,0.64697,0.56959,0.94479,0.83364,0.000919704,0.000919704,0.000919704
20,674.312,0.74373,0.86967,0.98557,0.603,0.64556,0.80931,0.61789,0.61116,0.87984,0.84575,0.00089141,0.00089141,0.00089141
21,706.331,0.69636,0.83673,0.98373,0.83716,0.90417,0.86851,0.64526,0.54552,0.78459,0.82382,0.000863116,0.000863116,0.000863116
22,739.219,0.69816,0.83034,0.97387,0.79226,0.9789,0.97955,0.69982,0.48741,0.79,0.80421,0.000834822,0.000834822,0.000834822
23,771.575,0.6762,0.7588,0.96593,0.81864,0.81223,0.91811,0.62774,0.55349,0.80503,0.83451,0.000806528,0.000806528,0.000806528
24,804.214,0.66982,0.73615,0.94664,0.91307,0.81223,0.84057,0.61077,0.53605,0.79565,0.83845,0.000778233,0.000778233,0.000778233
25,836.713,0.65606,0.7396,0.9463,0.83039,0.88083,0.9251,0.68926,0.49674,0.77929,0.83552,0.000749939,0.000749939,0.000749939
26,869.057,0.66955,0.72506,0.9407,0.96195,0.81223,0.89964,0.69417,0.49754,0.78184,0.82793,0.000721645,0.000721645,0.000721645
27,902.092,0.61529,0.65785,0.91003,0.98336,0.97742,0.98425,0.70691,0.5522,0.80916,0.8464,0.000693351,0.000693351,0.000693351
28,934.606,0.65354,0.74619,0.96686,0.89114,0.95069,0.9844,0.72776,0.50884,0.89676,0.84087,0.000665057,0.000665057,0.000665057
29,966.344,0.63233,0.78602,0.94809,0.9665,0.97327,0.97982,0.7466,0.53595,0.7964,0.85553,0.000636762,0.000636762,0.000636762
30,998.295,0.59965,0.63679,0.91457,0.96672,0.9789,0.98195,0.72999,0.50286,0.70957,0.83258,0.000608468,0.000608468,0.000608468
31,1030.15,0.64988,0.69099,0.97071,0.97425,0.94927,0.98382,0.75115,0.5222,0.71095,0.83277,0.000580174,0.000580174,0.000580174
32,1061.91,0.58087,0.61749,0.91483,0.97478,0.95661,0.98452,0.72925,0.55254,0.68065,0.86113,0.00055188,0.00055188,0.00055188
33,1095.02,0.59753,0.65225,0.93975,0.97271,0.9789,0.98454,0.79942,0.47319,0.63419,0.81287,0.000523586,0.000523586,0.000523586
34,1211.72,0.57058,0.58743,0.91228,0.97005,0.9789,0.98178,0.80519,0.45835,0.59116,0.79963,0.000495291,0.000495291,0.000495291
35,1244.23,0.54524,0.64088,0.91168,0.97543,0.9789,0.97944,0.7881,0.50003,0.62528,0.80807,0.000466997,0.000466997,0.000466997
36,1286.48,0.56088,0.626,0.89981,0.98542,0.9789,0.97824,0.74825,0.54421,0.68279,0.82336,0.000438703,0.000438703,0.000438703
37,1318.96,0.55195,0.626,0.90255,0.99038,0.9715,0.97735,0.77232,0.50364,0.68841,0.81666,0.000410409,0.000410409,0.000410409
38,1350.79,0.53295,0.58889,0.92519,0.98275,0.97284,0.9797,0.77863,0.46183,0.60843,0.80661,0.000382115,0.000382115,0.000382115
39,1382.33,0.54456,0.60919,0.92976,0.97762,0.97175,0.98564,0.81095,0.44601,0.60213,0.79712,0.00035382,0.00035382,0.00035382
40,1414.07,0.55303,0.57982,0.92097,0.98078,0.9789,0.98585,0.79839,0.44869,0.62892,0.80396,0.000325526,0.000325526,0.000325526
41,1445.72,0.51711,0.62129,0.91444,0.98008,0.9789,0.98327,0.788,0.44984,0.60976,0.80765,0.000297232,0.000297232,0.000297232
42,1477.38,0.45836,0.56619,0.84945,0.98058,0.9789,0.98102,0.78964,0.45233,0.60562,0.80957,0.000268938,0.000268938,0.000268938
43,1509.02,0.4655,0.57833,0.88694,0.9828,0.9789,0.98034,0.80929,0.45295,0.60252,0.80854,0.000240644,0.000240644,0.000240644
44,1540.31,0.4502,0.59078,0.89147,0.98391,0.9789,0.98137,0.82201,0.43614,0.56984,0.81048,0.000212349,0.000212349,0.000212349
45,1571.59,0.42771,0.53679,0.86506,0.98457,0.9789,0.98164,0.82071,0.43787,0.56509,0.81121,0.000184055,0.000184055,0.000184055
46,1602.92,0.43294,0.55472,0.86146,0.9852,0.9789,0.9818,0.82909,0.42071,0.5387,0.80035,0.000155761,0.000155761,0.000155761
47,1634.47,0.42455,0.5186,0.86262,0.98464,0.9789,0.98174,0.82618,0.4159,0.53387,0.79535,0.000127467,0.000127467,0.000127467
48,1665.84,0.41818,0.51741,0.85079,0.98517,0.9789,0.98271,0.83721,0.40884,0.53121,0.79387,9.91726e-05,9.91726e-05,9.91726e-05
49,1697.4,0.4058,0.50581,0.8653,0.98418,0.9789,0.98306,0.83949,0.4052,0.52703,0.79552,7.08784e-05,7.08784e-05,7.08784e-05
50,1728.81,0.42812,0.52708,0.86019,0.98322,0.9789,0.98389,0.84085,0.40187,0.52117,0.79842,4.25842e-05,4.25842e-05,4.25842e-05
